symbol,name,category,expense_ratio
SPY,SPDR S&P 500 ETF,Large Cap Growth Equities,0.0009
IVV,iShares Core S&P 500 ETF,Large Cap Growth Equities,0.0004
VOO,Vanguard S&P 500 ETF,Large Cap Growth Equities,0.0003
VTI,Vanguard Total Stock Market ETF,Large Cap Growth Equities,0.0003
QQQ,Invesco QQQ,Large Cap Growth Equities,0.0020
AGG,iShares Core U.S. Aggregate Bond ETF,Total Bond Market,0.0005
VEA,Vanguard FTSE Developed Markets ETF,Foreign Large Cap Equities,0.0005
IEFA,iShares Core MSCI EAFE ETF,Foreign Large Cap Equities,0.0007
GLD,SPDR Gold Trust,Precious Metals,0.0040
BND,Vanguard Total Bond Market ETF,Total Bond Market,0.0004
VWO,Vanguard FTSE Emerging Markets ETF,Emerging Markets Equities,0.0012
IWF,iShares Russell 1000 Growth ETF,Large Cap Growth Equities,0.0019
VUG,Vanguard Growth ETF,Large Cap Growth Equities,0.0004
VTV,Vanguard Value ETF,Large Cap Blend Equities,0.0004
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,Corporate Bonds,0.0015
IEMG,iShares Core MSCI Emerging Markets ETF,Asia Pacific Equities,0.0014
EFA,iShares MSCI EAFE ETF,Foreign Large Cap Equities,0.0032
VIG,Vanguard Dividend Appreciation ETF,Large Cap Growth Equities,0.0006
IJH,iShares Core S&P Mid-Cap ETF,Small Cap Growth Equities,0.0006
IJR,iShares Core S&P Small-Cap ETF,Small Cap Growth Equities,0.0007
IWD,iShares Russell 1000 Value ETF,Large Cap Blend Equities,0.0019
USMV,iShares Edge MSCI Min Vol USA ETF,Large Cap Growth Equities,0.0015
IWM,iShares Russell 2000 ETF,Small Cap Growth Equities,0.0019
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,Corporate Bonds,0.0005
VO,Vanguard Mid-Cap Index ETF,Mid Cap Growth Equities,0.0004
VNQ,Vanguard Real Estate Index Fund,Real Estate,0.0012
BNDX,Vanguard Total International Bond ETF,Total Bond Market,0.0009
XLK,Technology Select Sector SPDR Fund,Technology Equities,0.0013
VGT,Vanguard Information Technology ETF,Technology Equities,0.0010
